VGS	VDS	fetCharTestingSmartSim0..IDS.i[0, ::]
-1.50000000000000000E0	5.24999999999998934E0	0.00000000000000000E0
-1.50000000000000000E0	5.29999999999998916E0	0.00000000000000000E0
-1.50000000000000000E0	5.34999999999998899E0	0.00000000000000000E0
-1.50000000000000000E0	5.39999999999998881E0	0.00000000000000000E0
-1.50000000000000000E0	5.44999999999998863E0	0.00000000000000000E0
-1.50000000000000000E0	5.49999999999998845E0	0.00000000000000000E0
-1.50000000000000000E0	5.54999999999998828E0	0.00000000000000000E0
-1.50000000000000000E0	5.59999999999998810E0	0.00000000000000000E0
-1.50000000000000000E0	5.64999999999998792E0	0.00000000000000000E0
-1.50000000000000000E0	5.69999999999998774E0	0.00000000000000000E0
-1.50000000000000000E0	5.74999999999998757E0	0.00000000000000000E0
-1.50000000000000000E0	5.79999999999998739E0	0.00000000000000000E0
-1.50000000000000000E0	5.84999999999998721E0	0.00000000000000000E0
-1.50000000000000000E0	5.89999999999998703E0	0.00000000000000000E0
-1.50000000000000000E0	5.94999999999998685E0	0.00000000000000000E0
-1.50000000000000000E0	6.00000000000000000E0	0.00000000000000000E0

VGS	VDS	fetCharTestingSmartSim0..IDS.i[1, ::]
-1.49000000000000110E0	1.00000000000000000E-1	0.00000000000000000E0
-1.49000000000000110E0	1.50000000000000022E-1	0.00000000000000000E0
-1.49000000000000110E0	2.00000000000000000E-1	0.00000000000000000E0
-1.49000000000000110E0	2.50000000000000000E-1	0.00000000000000000E0
-1.49000000000000110E0	3.00000000000000000E-1	0.00000000000000000E0
-1.49000000000000110E0	3.50000000000000000E-1	0.00000000000000000E0
-1.49000000000000110E0	3.99999999999999956E-1	0.00000000000000000E0
-1.49000000000000110E0	4.50000000000000000E-1	0.00000000000000000E0
-1.49000000000000110E0	4.99999999999999911E-1	0.00000000000000000E0
-1.49000000000000110E0	5.49999999999999911E-1	0.00000000000000000E0
-1.49000000000000110E0	6.00000000000000000E-1	0.00000000000000000E0
-1.49000000000000110E0	6.50000000000000000E-1	0.00000000000000000E0
-1.49000000000000110E0	7.00000000000000089E-1	0.00000000000000000E0
-1.49000000000000110E0	7.50000000000000089E-1	0.00000000000000000E0
-1.49000000000000110E0	8.00000000000000178E-1	0.00000000000000000E0
-1.49000000000000110E0	8.50000000000000178E-1	0.00000000000000000E0
-1.49000000000000110E0	9.00000000000000178E-1	0.00000000000000000E0
-1.49000000000000110E0	9.50000000000000355E-1	0.00000000000000000E0
-1.49000000000000110E0	1.00000000000000022E0	0.00000000000000000E0
-1.49000000000000110E0	1.05000000000000027E0	0.00000000000000000E0
-1.49000000000000110E0	1.10000000000000031E0	0.00000000000000000E0
-1.49000000000000110E0	1.15000000000000036E0	0.00000000000000000E0
-1.49000000000000110E0	1.20000000000000040E0	0.00000000000000000E0
-1.49000000000000110E0	1.25000000000000044E0	0.00000000000000000E0
-1.49000000000000110E0	1.30000000000000049E0	0.00000000000000000E0
-1.49000000000000110E0	1.35000000000000053E0	0.00000000000000000E0
-1.49000000000000110E0	1.40000000000000058E0	0.00000000000000000E0
-1.49000000000000110E0	1.45000000000000062E0	0.00000000000000000E0
-1.49000000000000110E0	1.50000000000000067E0	0.00000000000000000E0
-1.49000000000000110E0	1.55000000000000071E0	0.00000000000000000E0
-1.49000000000000110E0	1.60000000000000075E0	0.00000000000000000E0
-1.49000000000000110E0	1.65000000000000080E0	0.00000000000000000E0
-1.49000000000000110E0	1.70000000000000084E0	0.00000000000000000E0
-1.49000000000000110E0	1.75000000000000089E0	0.00000000000000000E0
-1.49000000000000110E0	1.80000000000000093E0	0.00000000000000000E0
-1.49000000000000110E0	1.85000000000000098E0	0.00000000000000000E0
-1.49000000000000110E0	1.90000000000000102E0	0.00000000000000000E0
-1.49000000000000110E0	1.95000000000000107E0	0.00000000000000000E0
-1.49000000000000110E0	2.00000000000000089E0	0.00000000000000000E0
-1.49000000000000110E0	2.05000000000000071E0	0.00000000000000000E0
-1.49000000000000110E0	2.10000000000000053E0	0.00000000000000000E0
-1.49000000000000110E0	2.15000000000000036E0	0.00000000000000000E0
-1.49000000000000110E0	2.20000000000000018E0	0.00000000000000000E0
-1.49000000000000110E0	2.25000000000000000E0	0.00000000000000000E0
-1.49000000000000110E0	2.29999999999999982E0	0.00000000000000000E0
-1.49000000000000110E0	2.34999999999999964E0	0.00000000000000000E0
-1.49000000000000110E0	2.39999999999999947E0	0.00000000000000000E0
-1.49000000000000110E0	2.44999999999999929E0	0.00000000000000000E0
-1.49000000000000110E0	2.49999999999999911E0	0.00000000000000000E0
-1.49000000000000110E0	2.54999999999999893E0	0.00000000000000000E0
-1.49000000000000110E0	2.59999999999999876E0	0.00000000000000000E0
-1.49000000000000110E0	2.64999999999999858E0	0.00000000000000000E0
-1.49000000000000110E0	2.69999999999999840E0	0.00000000000000000E0
-1.49000000000000110E0	2.74999999999999822E0	0.00000000000000000E0
-1.49000000000000110E0	2.79999999999999805E0	0.00000000000000000E0
-1.49000000000000110E0	2.84999999999999787E0	0.00000000000000000E0
-1.49000000000000110E0	2.89999999999999769E0	0.00000000000000000E0
-1.49000000000000110E0	2.94999999999999751E0	0.00000000000000000E0
-1.49000000000000110E0	2.99999999999999734E0	0.00000000000000000E0
-1.49000000000000110E0	3.04999999999999716E0	0.00000000000000000E0
-1.49000000000000110E0	3.09999999999999698E0	0.00000000000000000E0
-1.49000000000000110E0	3.14999999999999680E0	0.00000000000000000E0
-1.49000000000000110E0	3.19999999999999662E0	0.00000000000000000E0
-1.49000000000000110E0	3.24999999999999645E0	0.00000000000000000E0
-1.49000000000000110E0	3.29999999999999627E0	0.00000000000000000E0
-1.49000000000000110E0	3.34999999999999609E0	0.00000000000000000E0
-1.49000000000000110E0	3.39999999999999591E0	0.00000000000000000E0
-1.49000000000000110E0	3.44999999999999574E0	0.00000000000000000E0
-1.49000000000000110E0	3.49999999999999556E0	0.00000000000000000E0
-1.49000000000000110E0	3.54999999999999538E0	0.00000000000000000E0
-1.49000000000000110E0	3.59999999999999520E0	0.00000000000000000E0
-1.49000000000000110E0	3.64999999999999503E0	0.00000000000000000E0
-1.49000000000000110E0	3.69999999999999485E0	0.00000000000000000E0
-1.49000000000000110E0	3.74999999999999467E0	0.00000000000000000E0
-1.49000000000000110E0	3.79999999999999449E0	0.00000000000000000E0
-1.49000000000000110E0	3.84999999999999432E0	0.00000000000000000E0
-1.49000000000000110E0	3.89999999999999414E0	0.00000000000000000E0
-1.49000000000000110E0	3.94999999999999396E0	0.00000000000000000E0
-1.49000000000000110E0	3.99999999999999378E0	0.00000000000000000E0
-1.49000000000000110E0	4.04999999999999361E0	0.00000000000000000E0
-1.49000000000000110E0	4.09999999999999343E0	0.00000000000000000E0
-1.49000000000000110E0	4.14999999999999325E0	0.00000000000000000E0
-1.49000000000000110E0	4.19999999999999307E0	0.00000000000000000E0
-1.49000000000000110E0	4.24999999999999289E0	0.00000000000000000E0
-1.49000000000000110E0	4.29999999999999272E0	0.00000000000000000E0
-1.49000000000000110E0	4.34999999999999254E0	0.00000000000000000E0
-1.49000000000000110E0	4.39999999999999236E0	0.00000000000000000E0
-1.49000000000000110E0	4.44999999999999218E0	0.00000000000000000E0
-1.49000000000000110E0	4.49999999999999201E0	0.00000000000000000E0
-1.49000000000000110E0	4.54999999999999183E0	0.00000000000000000E0
-1.49000000000000110E0	4.59999999999999165E0	0.00000000000000000E0
-1.49000000000000110E0	4.64999999999999147E0	0.00000000000000000E0
-1.49000000000000110E0	4.69999999999999130E0	0.00000000000000000E0
-1.49000000000000110E0	4.74999999999999112E0	0.00000000000000000E0
-1.49000000000000110E0	4.79999999999999094E0	0.00000000000000000E0
-1.49000000000000110E0	4.84999999999999076E0	0.00000000000000000E0
-1.49000000000000110E0	4.89999999999999059E0	0.00000000000000000E0
-1.49000000000000110E0	4.94999999999999041E0	0.00000000000000000E0
-1.49000000000000110E0	4.99999999999999023E0	0.00000000000000000E0
-1.49000000000000110E0	5.04999999999999005E0	0.00000000000000000E0
-1.49000000000000110E0	5.09999999999998987E0	0.00000000000000000E0
-1.49000000000000110E0	5.14999999999998970E0	0.00000000000000000E0
-1.49000000000000110E0	5.19999999999998952E0	0.00000000000000000E0
-1.49000000000000110E0	5.24999999999998934E0	0.00000000000000000E0
-1.49000000000000110E0	5.29999999999998916E0	0.00000000000000000E0
-1.49000000000000110E0	5.34999999999998899E0	0.00000000000000000E0
-1.49000000000000110E0	5.39999999999998881E0	0.00000000000000000E0
-1.49000000000000110E0	5.44999999999998863E0	0.00000000000000000E0
-1.49000000000000110E0	5.49999999999998845E0	0.00000000000000000E0
-1.49000000000000110E0	5.54999999999998828E0	0.00000000000000000E0
-1.49000000000000110E0	5.59999999999998810E0	0.00000000000000000E0
-1.49000000000000110E0	5.64999999999998792E0	0.00000000000000000E0
-1.49000000000000110E0	5.69999999999998774E0	0.00000000000000000E0
-1.49000000000000110E0	5.74999999999998757E0	0.00000000000000000E0
-1.49000000000000110E0	5.79999999999998739E0	0.00000000000000000E0
-1.49000000000000110E0	5.84999999999998721E0	0.00000000000000000E0
-1.49000000000000110E0	5.89999999999998703E0	0.00000000000000000E0
-1.49000000000000110E0	5.94999999999998685E0	0.00000000000000000E0
-1.49000000000000110E0	6.00000000000000000E0	0.00000000000000000E0

VGS	VDS	fetCharTestingSmartSim0..IDS.i[2, ::]
-1.48000000000000109E0	1.00000000000000000E-1	0.00000000000000000E0
-1.48000000000000109E0	1.50000000000000022E-1	0.00000000000000000E0
-1.48000000000000109E0	2.00000000000000000E-1	0.00000000000000000E0
-1.48000000000000109E0	2.50000000000000000E-1	0.00000000000000000E0
-1.48000000000000109E0	3.00000000000000000E-1	0.00000000000000000E0
-1.48000000000000109E0	3.50000000000000000E-1	0.00000000000000000E0
-1.48000000000000109E0	3.99999999999999956E-1	0.00000000000000000E0
-1.48000000000000109E0	4.50000000000000000E-1	0.00000000000000000E0
-1.48000000000000109E0	4.99999999999999911E-1	0.00000000000000000E0
-1.48000000000000109E0	5.49999999999999911E-1	0.00000000000000000E0
-1.48000000000000109E0	6.00000000000000000E-1	0.00000000000000000E0
-1.48000000000000109E0	6.50000000000000000E-1	0.00000000000000000E0
-1.48000000000000109E0	7.00000000000000089E-1	0.00000000000000000E0
-1.48000000000000109E0	7.50000000000000089E-1	0.00000000000000000E0
-1.48000000000000109E0	8.00000000000000178E-1	0.00000000000000000E0
-1.48000000000000109E0	8.50000000000000178E-1	0.00000000000000000E0
-1.48000000000000109E0	9.00000000000000178E-1	0.00000000000000000E0
-1.48000000000000109E0	9.50000000000000355E-1	0.00000000000000000E0
-1.48000000000000109E0	1.00000000000000022E0	0.00000000000000000E0
-1.48000000000000109E0	1.05000000000000027E0	0.00000000000000000E0
-1.48000000000000109E0	1.10000000000000031E0	0.00000000000000000E0
-1.48000000000000109E0	1.15000000000000036E0	0.00000000000000000E0
-1.48000000000000109E0	1.20000000000000040E0	0.00000000000000000E0
-1.48000000000000109E0	1.25000000000000044E0	0.00000000000000000E0
-1.48000000000000109E0	1.30000000000000049E0	0.00000000000000000E0
-1.48000000000000109E0	1.35000000000000053E0	0.00000000000000000E0
-1.48000000000000109E0	1.40000000000000058E0	0.00000000000000000E0
-1.48000000000000109E0	1.45000000000000062E0	0.00000000000000000E0
-1.48000000000000109E0	1.50000000000000067E0	0.00000000000000000E0
-1.48000000000000109E0	1.55000000000000071E0	0.00000000000000000E0
-1.48000000000000109E0	1.60000000000000075E0	0.00000000000000000E0
-1.48000000000000109E0	1.65000000000000080E0	0.00000000000000000E0
-1.48000000000000109E0	1.70000000000000084E0	0.00000000000000000E0
-1.48000000000000109E0	1.75000000000000089E0	0.00000000000000000E0
-1.48000000000000109E0	1.80000000000000093E0	0.00000000000000000E0
-1.48000000000000109E0	1.85000000000000098E0	0.00000000000000000E0
-1.48000000000000109E0	1.90000000000000102E0	0.00000000000000000E0
-1.48000000000000109E0	1.95000000000000107E0	0.00000000000000000E0
-1.48000000000000109E0	2.00000000000000089E0	0.00000000000000000E0
-1.48000000000000109E0	2.05000000000000071E0	0.00000000000000000E0
-1.48000000000000109E0	2.10000000000000053E0	0.00000000000000000E0
-1.48000000000000109E0	2.15000000000000036E0	0.00000000000000000E0
-1.48000000000000109E0	2.20000000000000018E0	0.00000000000000000E0
-1.48000000000000109E0	2.25000000000000000E0	0.00000000000000000E0
-1.48000000000000109E0	2.29999999999999982E0	0.00000000000000000E0
-1.48000000000000109E0	2.34999999999999964E0	0.00000000000000000E0
-1.48000000000000109E0	2.39999999999999947E0	0.00000000000000000E0
-1.48000000000000109E0	2.44999999999999929E0	0.00000000000000000E0
-1.48000000000000109E0	2.49999999999999911E0	0.00000000000000000E0
-1.48000000000000109E0	2.54999999999999893E0	0.00000000000000000E0
-1.48000000000000109E0	2.59999999999999876E0	0.00000000000000000E0
-1.48000000000000109E0	2.64999999999999858E0	0.00000000000000000E0
-1.48000000000000109E0	2.69999999999999840E0	0.00000000000000000E0
-1.48000000000000109E0	2.74999999999999822E0	0.00000000000000000E0
-1.48000000000000109E0	2.79999999999999805E0	0.00000000000000000E0
-1.48000000000000109E0	2.84999999999999787E0	0.00000000000000000E0
-1.48000000000000109E0	2.89999999999999769E0	0.00000000000000000E0
-1.48000000000000109E0	2.94999999999999751E0	0.00000000000000000E0
-1.48000000000000109E0	2.99999999999999734E0	0.00000000000000000E0
-1.48000000000000109E0	3.04999999999999716E0	0.00000000000000000E0
-1.48000000000000109E0	3.09999999999999698E0	0.00000000000000000E0
-1.48000000000000109E0	3.14999999999999680E0	0.00000000000000000E0
-1.48000000000000109E0	3.19999999999999662E0	0.00000000000000000E0
-1.48000000000000109E0	3.24999999999999645E0	0.00000000000000000E0
-1.48000000000000109E0	3.29999999999999627E0	0.00000000000000000E0
-1.48000000000000109E0	3.34999999999999609E0	0.00000000000000000E0
-1.48000000000000109E0	3.39999999999999591E0	0.00000000000000000E0
-1.48000000000000109E0	3.44999999999999574E0	0.00000000000000000E0
-1.48000000000000109E0	3.49999999999999556E0	0.00000000000000000E0
-1.48000000000000109E0	3.54999999999999538E0	0.00000000000000000E0
-1.48000000000000109E0	3.59999999999999520E0	0.00000000000000000E0
-1.48000000000000109E0	3.64999999999999503E0	0.00000000000000000E0
-1.48000000000000109E0	3.69999999999999485E0	0.00000000000000000E0
-1.48000000000000109E0	3.74999999999999467E0	0.00000000000000000E0
-1.48000000000000109E0	3.79999999999999449E0	0.00000000000000000E0
-1.48000000000000109E0	3.84999999999999432E0	0.00000000000000000E0
-1.48000000000000109E0	3.89999999999999414E0	0.00000000000000000E0
-1.48000000000000109E0	3.94999999999999396E0	0.00000000000000000E0
-1.48000000000000109E0	3.99999999999999378E0	0.00000000000000000E0
-1.48000000000000109E0	4.04999999999999361E0	0.00000000000000000E0
-1.48000000000000109E0	4.09999999999999343E0	0.00000000000000000E0
-1.48000000000000109E0	4.14999999999999325E0	0.00000000000000000E0
-1.48000000000000109E0	4.19999999999999307E0	0.00000000000000000E0
-1.48000000000000109E0	4.24999999999999289E0	0.00000000000000000E0
-1.48000000000000109E0	4.29999999999999272E0	0.00000000000000000E0
-1.48000000000000109E0	4.34999999999999254E0	0.00000000000000000E0
-1.48000000000000109E0	4.39999999999999236E0	0.00000000000000000E0
-1.48000000000000109E0	4.44999999999999218E0	0.00000000000000000E0
-1.48000000000000109E0	4.49999999999999201E0	0.00000000000000000E0
-1.48000000000000109E0	4.54999999999999183E0	0.00000000000000000E0
-1.48000000000000109E0	4.59999999999999165E0	0.00000000000000000E0
-1.48000000000000109E0	4.64999999999999147E0	0.00000000000000000E0
-1.48000000000000109E0	4.69999999999999130E0	0.00000000000000000E0
-1.48000000000000109E0	4.74999999999999112E0	0.00000000000000000E0
-1.48000000000000109E0	4.79999999999999094E0	0.00000000000000000E0
-1.48000000000000109E0	4.84999999999999076E0	0.00000000000000000E0
-1.48000000000000109E0	4.89999999999999059E0	0.00000000000000000E0
-1.48000000000000109E0	4.94999999999999041E0	0.00000000000000000E0
-1.48000000000000109E0	4.99999999999999023E0	0.00000000000000000E0
-1.48000000000000109E0	5.04999999999999005E0	0.00000000000000000E0
-1.48000000000000109E0	5.09999999999998987E0	0.00000000000000000E0
-1.48000000000000109E0	5.14999999999998970E0	0.00000000000000000E0
-1.48000000000000109E0	5.19999999999998952E0	0.00000000000000000E0
-1.48000000000000109E0	5.24999999999998934E0	0.00000000000000000E0
-1.48000000000000109E0	5.29999999999998916E0	0.00000000000000000E0
-1.48000000000000109E0	5.34999999999998899E0	0.00000000000000000E0
-1.48000000000000109E0	5.39999999999998881E0	0.00000000000000000E0
-1.48000000000000109E0	5.44999999999998863E0	0.00000000000000000E0
-1.48000000000000109E0	5.49999999999998845E0	0.00000000000000000E0
-1.48000000000000109E0	5.54999999999998828E0	0.00000000000000000E0
-1.48000000000000109E0	5.59999999999998810E0	0.00000000000000000E0
-1.48000000000000109E0	5.64999999999998792E0	0.00000000000000000E0
-1.48000000000000109E0	5.69999999999998774E0	0.00000000000000000E0
-1.48000000000000109E0	5.74999999999998757E0	0.00000000000000000E0
-1.48000000000000109E0	5.79999999999998739E0	0.00000000000000000E0
-1.48000000000000109E0	5.84999999999998721E0	0.00000000000000000E0
-1.48000000000000109E0	5.89999999999998703E0	0.00000000000000000E0
-1.48000000000000109E0	5.94999999999998685E0	0.00000000000000000E0
-1.48000000000000109E0	6.00000000000000000E0	0.00000000000000000E0

VGS	VDS	fetCharTestingSmartSim0..IDS.i[3, ::]
-1.47000000000000108E0	1.00000000000000000E-1	0.00000000000000000E0
-1.47000000000000108E0	1.50000000000000022E-1	0.00000000000000000E0
-1.47000000000000108E0	2.00000000000000000E-1	0.00000000000000000E0
-1.47000000000000108E0	2.50000000000000000E-1	0.00000000000000000E0
-1.47000000000000108E0	3.00000000000000000E-1	0.00000000000000000E0
-1.47000000000000108E0	3.50000000000000000E-1	0.00000000000000000E0
-1.47000000000000108E0	3.99999999999999956E-1	0.00000000000000000E0
-1.47000000000000108E0	4.50000000000000000E-1	0.00000000000000000E0
-1.47000000000000108E0	4.99999999999999911E-1	0.00000000000000000E0
-1.47000000000000108E0	5.49999999999999911E-1	0.00000000000000000E0
-1.47000000000000108E0	6.00000000000000000E-1	0.00000000000000000E0
-1.47000000000000108E0	6.50000000000000000E-1	0.00000000000000000E0
-1.47000000000000108E0	7.00000000000000089E-1	0.00000000000000000E0
-1.47000000000000108E0	7.50000000000000089E-1	0.00000000000000000E0
-1.47000000000000108E0	8.00000000000000178E-1	0.00000000000000000E0
-1.47000000000000108E0	8.50000000000000178E-1	0.00000000000000000E0
-1.47000000000000108E0	9.00000000000000178E-1	0.00000000000000000E0
-1.47000000000000108E0	9.50000000000000355E-1	0.00000000000000000E0
-1.47000000000000108E0	1.00000000000000022E0	0.00000000000000000E0
-1.47000000000000108E0	1.05000000000000027E0	0.00000000000000000E0
-1.47000000000000108E0	1.10000000000000031E0	0.00000000000000000E0
-1.47000000000000108E0	1.15000000000000036E0	0.00000000000000000E0
-1.47000000000000108E0	1.20000000000000040E0	0.00000000000000000E0
-1.47000000000000108E0	1.25000000000000044E0	0.00000000000000000E0
-1.47000000000000108E0	1.30000000000000049E0	0.00000000000000000E0
-1.47000000000000108E0	1.35000000000000053E0	0.00000000000000000E0
-1.47000000000000108E0	1.40000000000000058E0	0.00000000000000000E0
-1.47000000000000108E0	1.45000000000000062E0	0.00000000000000000E0
-1.47000000000000108E0	1.50000000000000067E0	0.00000000000000000E0
-1.47000000000000108E0	1.55000000000000071E0	0.00000000000000000E0
-1.47000000000000108E0	1.60000000000000075E0	0.00000000000000000E0
-1.47000000000000108E0	1.65000000000000080E0	0.00000000000000000E0
-1.47000000000000108E0	1.70000000000000084E0	0.00000000000000000E0
-1.47000000000000108E0	1.75000000000000089E0	0.00000000000000000E0
-1.47000000000000108E0	1.80000000000000093E0	0.00000000000000000E0
-1.47000000000000108E0	1.85000000000000098E0	0.00000000000000000E0
-1.47000000000000108E0	1.90000000000000102E0	0.00000000000000000E0
-1.47000000000000108E0	1.95000000000000107E0	0.00000000000000000E0
-1.47000000000000108E0	2.00000000000000089E0	0.00000000000000000E0
-1.47000000000000108E0	2.05000000000000071E0	0.00000000000000000E0
-1.47000000000000108E0	2.10000000000000053E0	0.00000000000000000E0
-1.47000000000000108E0	2.15000000000000036E0	0.00000000000000000E0
-1.47000000000000108E0	2.20000000000000018E0	0.00000000000000000E0
-1.47000000000000108E0	2.25000000000000000E0	0.00000000000000000E0
-1.47000000000000108E0	2.29999999999999982E0	0.00000000000000000E0
-1.47000000000000108E0	2.34999999999999964E0	0.00000000000000000E0
-1.47000000000000108E0	2.39999999999999947E0	0.00000000000000000E0
